	bins [ps]	counts [#]
286	1144000.0	438.0
287	1148000.0	412.0
288	1152000.0	385.0
289	1156000.0	411.0
290	1160000.0	377.0
291	1164000.0	393.0
292	1168000.0	380.0
293	1172000.0	395.0
294	1176000.0	383.0
295	1180000.0	364.0
296	1184000.0	410.0
297	1188000.0	408.0
298	1192000.0	377.0
299	1196000.0	405.0
300	1200000.0	396.0
301	1204000.0	401.0
302	1208000.0	397.0
303	1212000.0	372.0
304	1216000.0	372.0
305	1220000.0	385.0
306	1224000.0	369.0
307	1228000.0	383.0
308	1232000.0	395.0
309	1236000.0	352.0
310	1240000.0	448.0
311	1244000.0	385.0
312	1248000.0	395.0
313	1252000.0	399.0
314	1256000.0	366.0
315	1260000.0	408.0
316	1264000.0	414.0
317	1268000.0	404.0
318	1272000.0	416.0
319	1276000.0	368.0
320	1280000.0	366.0
321	1284000.0	357.0
322	1288000.0	368.0
323	1292000.0	395.0
324	1296000.0	366.0
325	1300000.0	397.0
326	1304000.0	387.0
327	1308000.0	362.0
328	1312000.0	399.0
329	1316000.0	377.0
330	1320000.0	367.0
331	1324000.0	355.0
332	1328000.0	345.0
333	1332000.0	375.0
334	1336000.0	386.0
335	1340000.0	391.0
336	1344000.0	417.0
337	1348000.0	434.0
338	1352000.0	363.0
339	1356000.0	376.0
340	1360000.0	425.0
341	1364000.0	376.0
342	1368000.0	347.0
343	1372000.0	429.0
344	1376000.0	375.0
345	1380000.0	380.0
346	1384000.0	375.0
347	1388000.0	365.0
348	1392000.0	392.0
349	1396000.0	388.0
350	1400000.0	375.0
351	1404000.0	396.0
352	1408000.0	430.0
353	1412000.0	428.0
354	1416000.0	393.0
355	1420000.0	395.0
356	1424000.0	392.0
357	1428000.0	400.0
358	1432000.0	380.0
359	1436000.0	409.0
360	1440000.0	398.0
361	1444000.0	366.0
362	1448000.0	402.0
363	1452000.0	379.0
364	1456000.0	366.0
365	1460000.0	372.0
366	1464000.0	398.0
367	1468000.0	388.0
368	1472000.0	396.0
369	1476000.0	378.0
370	1480000.0	409.0
371	1484000.0	366.0
372	1488000.0	356.0
373	1492000.0	389.0
374	1496000.0	377.0
375	1500000.0	385.0
376	1504000.0	386.0
377	1508000.0	395.0
378	1512000.0	382.0
379	1516000.0	370.0
380	1520000.0	397.0
381	1524000.0	391.0
382	1528000.0	369.0
383	1532000.0	427.0
384	1536000.0	368.0
385	1540000.0	385.0
386	1544000.0	370.0
387	1548000.0	375.0
388	1552000.0	383.0
389	1556000.0	371.0
390	1560000.0	379.0
391	1564000.0	410.0
392	1568000.0	363.0
393	1572000.0	382.0
394	1576000.0	382.0
395	1580000.0	370.0
396	1584000.0	378.0
397	1588000.0	360.0
398	1592000.0	384.0
399	1596000.0	348.0
400	1600000.0	386.0
401	1604000.0	396.0
402	1608000.0	367.0
403	1612000.0	357.0
404	1616000.0	385.0
405	1620000.0	380.0
406	1624000.0	374.0
407	1628000.0	384.0
408	1632000.0	375.0
409	1636000.0	396.0
410	1640000.0	399.0
411	1644000.0	349.0
412	1648000.0	372.0
413	1652000.0	378.0
414	1656000.0	357.0
415	1660000.0	410.0
416	1664000.0	379.0
417	1668000.0	410.0
418	1672000.0	398.0
419	1676000.0	365.0
420	1680000.0	395.0
421	1684000.0	410.0
422	1688000.0	357.0
423	1692000.0	385.0
424	1696000.0	369.0
425	1700000.0	355.0
426	1704000.0	407.0
427	1708000.0	373.0
428	1712000.0	386.0
429	1716000.0	361.0
430	1720000.0	366.0
431	1724000.0	388.0
432	1728000.0	344.0
433	1732000.0	390.0
434	1736000.0	366.0
435	1740000.0	386.0
436	1744000.0	372.0
437	1748000.0	394.0
438	1752000.0	366.0
439	1756000.0	376.0
440	1760000.0	377.0
441	1764000.0	395.0
442	1768000.0	379.0
443	1772000.0	364.0
444	1776000.0	379.0
445	1780000.0	350.0
446	1784000.0	358.0
447	1788000.0	344.0
448	1792000.0	388.0
449	1796000.0	375.0
450	1800000.0	388.0
451	1804000.0	340.0
452	1808000.0	392.0
453	1812000.0	367.0
454	1816000.0	362.0
455	1820000.0	383.0
456	1824000.0	388.0
457	1828000.0	373.0
458	1832000.0	359.0
459	1836000.0	357.0
460	1840000.0	370.0
461	1844000.0	375.0
462	1848000.0	354.0
463	1852000.0	327.0
464	1856000.0	420.0
465	1860000.0	334.0
466	1864000.0	364.0
467	1868000.0	375.0
468	1872000.0	354.0
469	1876000.0	389.0
470	1880000.0	355.0
471	1884000.0	378.0
472	1888000.0	355.0
473	1892000.0	368.0
474	1896000.0	372.0
475	1900000.0	425.0
476	1904000.0	361.0
477	1908000.0	381.0
478	1912000.0	367.0
479	1916000.0	417.0
480	1920000.0	364.0
481	1924000.0	377.0
482	1928000.0	400.0
483	1932000.0	384.0
484	1936000.0	393.0
485	1940000.0	381.0
486	1944000.0	364.0
487	1948000.0	374.0
488	1952000.0	356.0
489	1956000.0	347.0
490	1960000.0	369.0
491	1964000.0	358.0
492	1968000.0	399.0
493	1972000.0	394.0
494	1976000.0	372.0
495	1980000.0	356.0
496	1984000.0	365.0
497	1988000.0	364.0
498	1992000.0	408.0
499	1996000.0	387.0
500	2000000.0	374.0
501	2004000.0	353.0
502	2008000.0	384.0
503	2012000.0	350.0
504	2016000.0	379.0
505	2020000.0	411.0
506	2024000.0	373.0
507	2028000.0	396.0
508	2032000.0	357.0
509	2036000.0	345.0
510	2040000.0	382.0
511	2044000.0	346.0
512	2048000.0	373.0
513	2052000.0	381.0
514	2056000.0	394.0
515	2060000.0	362.0
516	2064000.0	389.0
517	2068000.0	374.0
518	2072000.0	366.0
519	2076000.0	365.0
520	2080000.0	366.0
521	2084000.0	362.0
522	2088000.0	373.0
523	2092000.0	380.0
524	2096000.0	350.0
525	2100000.0	363.0
526	2104000.0	359.0
527	2108000.0	347.0
528	2112000.0	396.0
529	2116000.0	375.0
530	2120000.0	359.0
531	2124000.0	372.0
532	2128000.0	344.0
533	2132000.0	340.0
534	2136000.0	370.0
535	2140000.0	355.0
536	2144000.0	378.0
537	2148000.0	332.0
538	2152000.0	361.0
539	2156000.0	379.0
540	2160000.0	363.0
541	2164000.0	372.0
542	2168000.0	320.0
543	2172000.0	346.0
544	2176000.0	337.0
545	2180000.0	367.0
546	2184000.0	331.0
547	2188000.0	350.0
548	2192000.0	329.0
549	2196000.0	387.0
550	2200000.0	367.0
551	2204000.0	366.0
552	2208000.0	404.0
553	2212000.0	376.0
554	2216000.0	364.0
555	2220000.0	359.0
556	2224000.0	355.0
557	2228000.0	326.0
558	2232000.0	365.0
559	2236000.0	359.0
560	2240000.0	339.0
561	2244000.0	353.0
562	2248000.0	357.0
563	2252000.0	363.0
564	2256000.0	335.0
565	2260000.0	370.0
566	2264000.0	370.0
567	2268000.0	347.0
568	2272000.0	365.0
569	2276000.0	353.0
570	2280000.0	337.0
571	2284000.0	398.0
572	2288000.0	359.0
573	2292000.0	321.0
574	2296000.0	395.0
575	2300000.0	361.0
576	2304000.0	370.0
577	2308000.0	351.0
578	2312000.0	357.0
579	2316000.0	409.0
580	2320000.0	343.0
581	2324000.0	336.0
582	2328000.0	361.0
583	2332000.0	343.0
584	2336000.0	348.0
585	2340000.0	363.0
586	2344000.0	354.0
587	2348000.0	386.0
588	2352000.0	357.0
589	2356000.0	340.0
590	2360000.0	354.0
591	2364000.0	384.0
592	2368000.0	345.0
593	2372000.0	347.0
594	2376000.0	366.0
595	2380000.0	374.0
596	2384000.0	378.0
597	2388000.0	368.0
598	2392000.0	383.0
599	2396000.0	361.0
600	2400000.0	331.0
601	2404000.0	346.0
602	2408000.0	354.0
603	2412000.0	390.0
604	2416000.0	352.0
605	2420000.0	359.0
606	2424000.0	351.0
607	2428000.0	326.0
608	2432000.0	351.0
609	2436000.0	344.0
610	2440000.0	360.0
611	2444000.0	379.0
612	2448000.0	322.0
613	2452000.0	345.0
614	2456000.0	315.0
615	2460000.0	349.0
616	2464000.0	363.0
617	2468000.0	353.0
618	2472000.0	373.0
619	2476000.0	337.0
620	2480000.0	356.0
621	2484000.0	355.0
622	2488000.0	369.0
623	2492000.0	342.0
624	2496000.0	362.0
625	2500000.0	381.0
626	2504000.0	335.0
627	2508000.0	366.0
628	2512000.0	360.0
629	2516000.0	340.0
630	2520000.0	354.0
631	2524000.0	339.0
632	2528000.0	320.0
633	2532000.0	364.0
634	2536000.0	368.0
635	2540000.0	333.0
636	2544000.0	350.0
637	2548000.0	360.0
638	2552000.0	357.0
639	2556000.0	353.0
640	2560000.0	362.0
641	2564000.0	307.0
642	2568000.0	359.0
643	2572000.0	392.0
644	2576000.0	385.0
645	2580000.0	367.0
646	2584000.0	367.0
647	2588000.0	351.0
648	2592000.0	348.0
649	2596000.0	353.0
650	2600000.0	359.0
651	2604000.0	344.0
652	2608000.0	329.0
653	2612000.0	356.0
654	2616000.0	326.0
655	2620000.0	357.0
656	2624000.0	382.0
657	2628000.0	357.0
658	2632000.0	336.0
659	2636000.0	364.0
660	2640000.0	350.0
661	2644000.0	339.0
662	2648000.0	344.0
663	2652000.0	370.0
664	2656000.0	322.0
665	2660000.0	383.0
666	2664000.0	331.0
667	2668000.0	361.0
668	2672000.0	345.0
669	2676000.0	378.0
670	2680000.0	351.0
671	2684000.0	351.0
672	2688000.0	339.0
673	2692000.0	368.0
674	2696000.0	329.0
675	2700000.0	366.0
676	2704000.0	326.0
677	2708000.0	338.0
678	2712000.0	354.0
679	2716000.0	368.0
680	2720000.0	337.0
681	2724000.0	364.0
682	2728000.0	357.0
683	2732000.0	343.0
684	2736000.0	323.0
685	2740000.0	360.0
686	2744000.0	366.0
687	2748000.0	337.0
688	2752000.0	339.0
689	2756000.0	370.0
690	2760000.0	351.0
691	2764000.0	389.0
692	2768000.0	359.0
693	2772000.0	338.0
694	2776000.0	360.0
695	2780000.0	359.0
696	2784000.0	339.0
697	2788000.0	363.0
698	2792000.0	338.0
699	2796000.0	356.0
700	2800000.0	354.0
701	2804000.0	325.0
702	2808000.0	350.0
703	2812000.0	359.0
704	2816000.0	317.0
705	2820000.0	347.0
706	2824000.0	388.0
707	2828000.0	318.0
708	2832000.0	363.0
709	2836000.0	352.0
710	2840000.0	318.0
711	2844000.0	371.0
712	2848000.0	347.0
713	2852000.0	362.0
714	2856000.0	366.0
715	2860000.0	324.0
716	2864000.0	324.0
717	2868000.0	358.0
718	2872000.0	352.0
719	2876000.0	379.0
720	2880000.0	357.0
721	2884000.0	339.0
722	2888000.0	330.0
723	2892000.0	366.0
724	2896000.0	350.0
725	2900000.0	337.0
726	2904000.0	345.0
727	2908000.0	358.0
728	2912000.0	344.0
729	2916000.0	358.0
730	2920000.0	338.0
731	2924000.0	366.0
732	2928000.0	359.0
733	2932000.0	350.0
734	2936000.0	331.0
735	2940000.0	339.0
736	2944000.0	326.0
737	2948000.0	352.0
738	2952000.0	332.0
739	2956000.0	335.0
740	2960000.0	306.0
741	2964000.0	330.0
742	2968000.0	367.0
743	2972000.0	343.0
744	2976000.0	338.0
745	2980000.0	338.0
746	2984000.0	332.0
747	2988000.0	324.0
748	2992000.0	326.0
749	2996000.0	326.0
750	3000000.0	356.0
751	3004000.0	343.0
752	3008000.0	353.0
753	3012000.0	313.0
754	3016000.0	320.0
755	3020000.0	348.0
756	3024000.0	309.0
757	3028000.0	315.0
758	3032000.0	342.0
759	3036000.0	364.0
760	3040000.0	331.0
761	3044000.0	318.0
762	3048000.0	359.0
763	3052000.0	353.0
764	3056000.0	363.0
765	3060000.0	329.0
766	3064000.0	325.0
767	3068000.0	363.0
768	3072000.0	340.0
769	3076000.0	341.0
770	3080000.0	383.0
771	3084000.0	347.0
772	3088000.0	323.0
773	3092000.0	383.0
774	3096000.0	342.0
775	3100000.0	370.0
776	3104000.0	355.0
777	3108000.0	327.0
778	3112000.0	344.0
779	3116000.0	340.0
780	3120000.0	328.0
781	3124000.0	340.0
782	3128000.0	324.0
783	3132000.0	320.0
784	3136000.0	322.0
785	3140000.0	320.0
786	3144000.0	337.0
787	3148000.0	345.0
788	3152000.0	348.0
789	3156000.0	353.0
790	3160000.0	307.0
791	3164000.0	352.0
792	3168000.0	369.0
793	3172000.0	318.0
794	3176000.0	323.0
795	3180000.0	344.0
796	3184000.0	331.0
797	3188000.0	342.0
798	3192000.0	339.0
799	3196000.0	391.0
800	3200000.0	340.0
801	3204000.0	335.0
802	3208000.0	315.0
803	3212000.0	333.0
804	3216000.0	375.0
805	3220000.0	332.0
806	3224000.0	318.0
807	3228000.0	354.0
808	3232000.0	350.0
809	3236000.0	354.0
810	3240000.0	310.0
811	3244000.0	361.0
812	3248000.0	348.0
813	3252000.0	373.0
814	3256000.0	348.0
815	3260000.0	309.0
816	3264000.0	347.0
817	3268000.0	344.0
818	3272000.0	360.0
819	3276000.0	359.0
820	3280000.0	336.0
821	3284000.0	325.0
822	3288000.0	347.0
823	3292000.0	358.0
824	3296000.0	317.0
825	3300000.0	338.0
826	3304000.0	348.0
827	3308000.0	311.0
828	3312000.0	309.0
829	3316000.0	316.0
830	3320000.0	321.0
831	3324000.0	362.0
832	3328000.0	340.0
833	3332000.0	355.0
834	3336000.0	334.0
835	3340000.0	342.0
836	3344000.0	321.0
837	3348000.0	340.0
838	3352000.0	359.0
839	3356000.0	337.0
840	3360000.0	324.0
841	3364000.0	362.0
842	3368000.0	335.0
843	3372000.0	320.0
844	3376000.0	372.0
845	3380000.0	318.0
846	3384000.0	317.0
847	3388000.0	301.0
848	3392000.0	338.0
849	3396000.0	322.0
850	3400000.0	363.0
851	3404000.0	326.0
852	3408000.0	323.0
853	3412000.0	306.0
854	3416000.0	327.0
855	3420000.0	334.0
856	3424000.0	347.0
857	3428000.0	332.0
858	3432000.0	333.0
859	3436000.0	342.0
860	3440000.0	321.0
861	3444000.0	346.0
862	3448000.0	333.0
863	3452000.0	354.0
864	3456000.0	340.0
865	3460000.0	340.0
866	3464000.0	326.0
867	3468000.0	331.0
868	3472000.0	306.0
869	3476000.0	344.0
870	3480000.0	346.0
871	3484000.0	335.0
872	3488000.0	316.0
873	3492000.0	326.0
874	3496000.0	331.0
875	3500000.0	350.0
876	3504000.0	339.0
877	3508000.0	363.0
878	3512000.0	317.0
879	3516000.0	337.0
880	3520000.0	312.0
881	3524000.0	333.0
882	3528000.0	330.0
883	3532000.0	346.0
884	3536000.0	337.0
885	3540000.0	303.0
886	3544000.0	314.0
887	3548000.0	343.0
888	3552000.0	323.0
889	3556000.0	346.0
890	3560000.0	290.0
891	3564000.0	333.0
892	3568000.0	310.0
893	3572000.0	318.0
894	3576000.0	329.0
895	3580000.0	330.0
896	3584000.0	337.0
897	3588000.0	349.0
898	3592000.0	322.0
899	3596000.0	309.0
900	3600000.0	341.0
901	3604000.0	310.0
902	3608000.0	329.0
903	3612000.0	290.0
904	3616000.0	329.0
905	3620000.0	281.0
906	3624000.0	345.0
907	3628000.0	319.0
908	3632000.0	324.0
909	3636000.0	319.0
910	3640000.0	351.0
911	3644000.0	318.0
912	3648000.0	311.0
913	3652000.0	317.0
914	3656000.0	313.0
915	3660000.0	314.0
916	3664000.0	325.0
917	3668000.0	311.0
918	3672000.0	328.0
919	3676000.0	307.0
920	3680000.0	309.0
921	3684000.0	337.0
922	3688000.0	350.0
923	3692000.0	325.0
924	3696000.0	356.0
